,time (s),DP(Î¼cal/s)
176,1.0,0.002088
177,2.0,-0.003744
178,3.0,-0.006936
179,4.0,-0.011868
180,5.0,-0.02341
181,6.0,-0.040043
182,7.0,-0.056935
183,8.0,-0.079857
184,9.0,-0.097939
185,10.0,-0.116301
186,11.0,-0.129763
187,12.0,-0.139096
188,13.0,-0.147428
189,14.0,-0.15484
190,15.0,-0.156492
191,16.0,-0.161094
192,17.0,-0.165807
193,18.0,-0.17125
194,19.0,-0.180573
195,20.0,-0.182167
196,21.0,-0.18272
197,22.0,-0.184173
198,23.0,-0.185346
199,24.0,-0.188189
200,25.0,-0.192182
201,26.0,-0.193475
202,27.0,-0.191958
203,28.0,-0.191431
204,29.0,-0.193905
205,30.0,-0.195228
206,31.0,-0.195661
207,32.0,-0.197704
208,33.0,-0.198127
209,34.0,-0.19997
210,35.0,-0.200633
211,36.0,-0.205816
212,37.0,-0.205819
213,38.0,-0.207272
214,39.0,-0.206796
215,40.0,-0.204019
216,41.0,-0.199902
217,42.0,-0.201565
218,43.0,-0.203048
219,44.0,-0.204361
220,45.0,-0.203084
221,46.0,-0.205527
222,47.0,-0.20517
223,48.0,-0.204884
224,49.0,-0.206898
225,50.0,-0.206122
226,51.0,-0.206396
227,52.0,-0.20555
228,53.0,-0.209604
229,54.0,-0.207128
230,55.0,-0.209382
231,56.0,-0.205186
232,57.0,-0.20704
233,58.0,-0.207834
234,59.0,-0.208968
235,60.0,-0.207802
236,61.0,-0.210306
237,62.0,-0.20771
238,63.0,-0.205964
239,64.0,-0.204468
240,65.0,-0.208042
241,66.0,-0.209486
242,67.0,-0.20624
243,68.0,-0.204994
244,69.0,-0.207318
245,70.0,-0.210462
246,71.0,-0.212346
247,72.0,-0.2065
248,73.0,-0.203314
249,74.0,-0.205878
250,75.0,-0.208612
251,76.0,-0.204146
252,77.0,-0.20553
253,78.0,-0.208584
254,79.0,-0.211628
255,80.0,-0.208682
256,81.0,-0.206616
257,82.0,-0.204711
258,83.0,-0.207986
259,84.0,-0.209541
260,85.0,-0.206936
261,86.0,-0.210111
262,87.0,-0.210206
263,88.0,-0.20877
264,89.0,-0.204745
265,90.0,-0.20255
266,91.0,-0.206745
267,92.0,-0.20834
268,93.0,-0.206895
269,94.0,-0.20771
270,95.0,-0.211244
271,96.0,-0.211079
272,97.0,-0.209944
273,98.0,-0.208149
274,99.0,-0.208434
275,100.0,-0.207949
276,101.0,-0.208864
277,102.0,-0.212988
278,103.0,-0.216853
279,104.0,-0.214428
280,105.0,-0.212983
281,106.0,-0.212178
282,107.0,-0.205883
283,108.0,-0.207587
284,109.0,-0.207062
285,110.0,-0.211337
286,111.0,-0.206562
287,112.0,-0.211427
288,113.0,-0.212163
289,114.0,-0.211168
290,115.0,-0.211774
291,116.0,-0.20885
292,117.0,-0.214475
293,118.0,-0.212441
294,119.0,-0.210937
295,120.0,-0.214702
296,121.0,-0.210888
297,122.0,-0.210814
298,123.0,-0.209209
299,124.0,-0.206795
300,125.0,-0.208071
301,126.0,-0.209476
302,127.0,-0.209962
303,128.0,-0.210848
304,129.0,-0.211823
305,130.0,-0.211099
306,131.0,-0.210895
307,132.0,-0.20967
308,133.0,-0.212056
309,134.0,-0.212862
310,135.0,-0.212587
311,136.0,-0.215003
312,137.0,-0.212719
313,138.0,-0.212734
314,139.0,-0.21248
315,140.0,-0.209446
316,141.0,-0.206031
317,142.0,-0.201057
318,143.0,-0.201533
319,144.0,-0.202029
320,145.0,-0.200305
321,146.0,-0.198442
322,147.0,-0.196448
323,148.0,-0.192604
324,149.0,-0.189561
325,150.0,-0.187687
326,151.0,-0.186484
327,152.0,-0.18089
328,153.0,-0.176457
329,154.0,-0.173473
330,155.0,-0.1704
331,156.0,-0.167616
332,157.0,-0.158033
333,158.0,-0.149719
334,159.0,-0.141285
335,160.0,-0.139382
336,161.0,-0.137018
337,162.0,-0.131685
338,163.0,-0.121921
339,164.0,-0.115918
340,165.0,-0.110054
341,166.0,-0.103941
342,167.0,-0.101097
343,168.0,-0.099583
344,169.0,-0.0911
345,170.0,-0.087116
346,171.0,-0.083253
347,172.0,-0.078289
348,173.0,-0.074116
349,174.0,-0.074082
350,175.0,-0.073689
351,176.0,-0.071185
352,177.0,-0.067923
353,178.0,-0.06805
354,179.0,-0.066487
355,180.0,-0.063374
356,181.0,-0.061701
357,182.0,-0.058758
358,183.0,-0.059166
359,184.0,-0.059603
360,185.0,-0.05338
361,186.0,-0.050787
362,187.0,-0.049214
363,188.0,-0.047702
364,189.0,-0.047199
365,190.0,-0.047066
366,191.0,-0.046573
367,192.0,-0.04664
368,193.0,-0.046517
369,194.0,-0.046295
370,195.0,-0.046532
371,196.0,-0.046649
372,197.0,-0.047116
373,198.0,-0.047823
374,199.0,-0.048211
375,200.0,-0.048598
376,201.0,-0.049255
377,202.0,-0.048022
378,203.0,-0.042929
379,204.0,-0.035537
380,205.0,-0.034254
381,206.0,-0.034871
382,207.0,-0.034678
383,208.0,-0.034836
384,209.0,-0.035024
385,210.0,-0.035281
386,211.0,-0.035759
387,212.0,-0.035937
388,213.0,-0.035405
389,214.0,-0.035443
390,215.0,-0.035171
391,216.0,-0.034729
392,217.0,-0.034007
393,218.0,-0.033675
394,219.0,-0.033602
395,220.0,-0.03336
396,221.0,-0.032728
397,222.0,-0.032176
398,223.0,-0.031554
399,224.0,-0.031392
400,225.0,-0.03091
401,226.0,-0.030598
402,227.0,-0.030556
403,228.0,-0.030923
404,229.0,-0.031191
405,230.0,-0.030939
406,231.0,-0.030647
407,232.0,-0.030395
408,233.0,-0.030363
409,234.0,-0.030401
410,235.0,-0.030759
411,236.0,-0.030777
412,237.0,-0.030824
413,238.0,-0.030812
414,239.0,-0.03051
415,240.0,-0.029939
416,241.0,-0.029497
417,242.0,-0.028946
418,243.0,-0.028724
419,244.0,-0.028613
420,245.0,-0.028431
421,246.0,-0.02817
422,247.0,-0.027668
423,248.0,-0.026997
424,249.0,-0.026516
425,250.0,-0.026284
426,251.0,-0.026253
427,252.0,-0.025811
428,253.0,-0.02528
429,254.0,-0.024708
430,255.0,-0.024487
431,256.0,-0.024145
432,257.0,-0.023744
433,258.0,-0.023553
434,259.0,-0.023161
435,260.0,-0.02286
436,261.0,-0.022458
437,262.0,-0.022237
438,263.0,-0.022255
439,264.0,-0.021944
440,265.0,-0.021732
441,266.0,-0.021871
442,267.0,-0.02237
443,268.0,-0.022438
444,269.0,-0.022287
445,270.0,-0.022385
446,271.0,-0.022064
447,272.0,-0.021743
448,273.0,-0.021472
449,274.0,-0.021371
450,275.0,-0.02152
451,276.0,-0.02085
452,277.0,-0.020679
453,278.0,-0.020928
454,279.0,-0.021177
455,280.0,-0.021096
456,281.0,-0.020835
457,282.0,-0.020095
458,283.0,-0.019654
459,284.0,-0.019753
460,285.0,-0.020202
461,286.0,-0.020641
462,287.0,-0.0207
463,288.0,-0.02094
464,289.0,-0.021649
465,290.0,-0.022218
466,291.0,-0.022537
467,292.0,-0.022726
468,293.0,-0.022596
469,294.0,-0.022685
470,295.0,-0.023414
471,296.0,-0.023983
472,297.0,-0.023302
473,298.0,-0.022671
474,299.0,-0.022401
475,300.0,-0.02206
476,301.0,-0.021499
477,302.0,-0.021008
478,303.0,-0.021047
479,304.0,-0.020987
480,305.0,-0.020897
481,306.0,-0.020667
482,307.0,-0.019966
483,308.0,-0.019426
484,309.0,-0.019246
485,310.0,-0.019276
486,311.0,-0.019265
487,312.0,-0.019275
488,313.0,-0.019435
489,314.0,-0.019975
490,315.0,-0.020195
491,316.0,-0.020044
492,317.0,-0.019684
493,318.0,-0.020004
494,319.0,-0.020164
495,320.0,-0.019983
496,321.0,-0.019473
497,322.0,-0.019483
498,323.0,-0.020003
499,324.0,-0.020222
500,325.0,-0.020582
501,326.0,-0.020542
502,327.0,-0.020432
503,328.0,-0.020452
504,329.0,-0.020321
505,330.0,-0.020231
506,331.0,-0.020111
507,332.0,-0.019931
508,333.0,-0.01967
509,334.0,-0.01924
510,335.0,-0.01938
511,336.0,-0.01956
512,337.0,-0.019661
513,338.0,-0.019591
514,339.0,-0.019441
515,340.0,-0.019352
516,341.0,-0.019402
517,342.0,-0.019612
518,343.0,-0.019642
519,344.0,-0.019463
520,345.0,-0.019063
521,346.0,-0.019003
522,347.0,-0.019254
523,348.0,-0.019094
524,349.0,-0.018544
525,350.0,-0.017975
526,351.0,-0.017175
527,352.0,-0.017595
528,353.0,-0.017316
529,354.0,-0.017736
530,355.0,-0.017576
531,356.0,-0.017757
532,357.0,-0.017857
533,358.0,-0.017387
534,359.0,-0.017778
535,360.0,-0.018338
536,361.0,-0.018618
537,362.0,-0.018999
538,363.0,-0.018819
539,364.0,-0.018999
540,365.0,-0.019009
541,366.0,-0.01885
542,367.0,-0.01865
543,368.0,-0.018571
544,369.0,-0.018762
545,370.0,-0.019063
546,371.0,-0.019264
547,372.0,-0.019294
548,373.0,-0.019035
549,374.0,-0.018786
550,375.0,-0.018507
551,376.0,-0.017988
552,377.0,-0.017709
553,378.0,-0.017459
554,379.0,-0.01739
